"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Republic of Korea","KR",2022,10603,2084,3915,1665,383,478,1255,,16602,19128,3781,20383,10407,2182,196,1072,1,220,4,2,14,,,66,139,,591,799,1532,2530,6004,11661,0,2,0,5,,,57,144,,507,567,734,840,4591,7440,0,27,62,,8096,1206,1614,,,19823,0,491,491,0,0,69,69,3,,1,,1,560,3,,,10407,2182,291,195,,,10407,2182,807,267,291,195,191,139,486,61,0,2,0,0,58,0,0,0,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Republic of Moldova","MD",2022,1096,330,159,327,191,18,70,54,1585,2121,606,2191,1096,327,0,20,1,220,16,7,18,,,15,51,,224,457,406,282,116,1551,0,17,11,14,,,21,19,,105,114,83,61,84,487,0,83,60,1941,,,,,,1821,1786,370,409,78,13,70,69,0,,0,,1,362,1,125,487,1096,327,238,190,251,190,936,313,214,178,189,152,188,152,428,70,6,4,0,8,52,0,0,0,0,1,2047,235,215,,,,,215,108,921,,,,,254,263,0,,,,,,,,,36554,36554,209
"Romania","RO",2022,5790,599,1061,1226,85,57,452,19,7450,8818,1820,9270,5790,1651,0,51,1,220,62,46,52,,,141,258,,676,1131,1807,1225,919,6157,0,47,52,67,,,113,183,,401,394,390,240,614,2335,0,326,62,,3587,132,276,,,9000,8860,254,39,0,0,16,16,0,,0,,1,153,0,,40,5025,1395,125,142,,,4556,1246,187,170,114,136,81,119,55,16,0,0,0,0,0,0,0,0,16,1,7362,130,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Russian Federation","RU",2022,23498,16840,3847,6390,4758,573,19683,8414,44185,55906,31404,75589,23498,17364,0,1711,1,221,249,,,573,,,,1496,5945,13912,9486,5672,2775,39286,318,307,,,613,,,,1178,3020,3429,2792,1790,2331,14540,20,1742,60,47727,,,,,,,47416,12854,18006,5104,498,7346,5575,3,,3,,3,,1,264,,21985,16378,8023,11022,5759,3447,21985,16378,9818,11771,8023,11022,7511,10531,17527,6191,38,29,63,159,1667,1219,14,136,2866,1,55225,14191,11088,1,1646,33,30,,,,,,,,,,,,,,,,,,,,,
"Rwanda","RW",2022,4587,624,1276,405,49,39,135,,6487,6980,628,7115,4580,523,7,0,,220,155,25,27,,,111,535,,1413,1385,631,555,353,4983,0,129,19,45,,,93,169,,384,345,258,156,182,1587,0,400,62,,3782,201,393,,,7056,6979,61,61,2,1,0,0,0,,0,,1,1,1,59,63,4080,474,44,16,,,,,,,,,,,53,0,0,0,0,0,0,0,0,0,0,1,6955,921,763,,,,,,278,11424,,,,,97202,99751,0,,,,,,,,,,,
"Saint Kitts and Nevis","KN",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Lucia","LC",2022,2,0,0,0,0,0,0,,2,2,0,2,2,0,0,1,1,220,0,0,0,,,0,0,,0,0,0,2,0,2,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,60,2,,,,,,2,2,0,0,0,0,0,0,0,,0,,0,,0,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,1,0,0,0,0,0,41,,,0,41,,,0,,,,,,,,,,,
"Saint Vincent and the Grenadines","VC",2022,4,0,0,1,0,0,0,,4,5,1,5,4,1,0,0,,222,,,,,0,,,0,0,0,2,2,0,4,0,,,,,0,,,0,0,1,0,0,0,1,0,0,60,5,,,,,,5,5,0,0,0,0,0,0,0,,0,,0,,0,,0,4,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Samoa","WS",2022,9,0,0,,,,0,,9,9,0,9,9,,,1,1,220,,,,,,,,,,2,,1,1,4,,,,,,,1,1,,,1,2,,,5,,,62,,9,0,0,,,9,9,0,0,0,0,0,0,0,,0,,0,,0,,0,9,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"San Marino","SM",2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
