"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","conf_rr_nfqr","conf_rr_fqr","unconf_rr_nfqr_tx","conf_rr_nfqr_tx","rrmdr_014_tx","conf_rr_fqr_tx","mdrxdr_bdq_used","mdrxdr_bdq_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Dominican Republic","DO",2021,1969,767,281,172,121,16,220,,3017,3326,529,3546,1969,309,0,398,1,220,8,8,10,,,55,170,,567,480,359,265,224,2120,0,8,7,14,,,57,123,,265,241,197,135,133,1151,0,55,60,2545,,,175,12,7,177,5,15,1,111,1,183,0,,199,1724,273,125,32,,,354,68,85,21,55,16,47,13,108,11,,,,,,,,,,1,3163,768,672,1,54,10,7,655,206,5855,,,,,,,0,,,,,,,,,,,
"Ecuador","EC",2021,3982,576,759,278,0,0,378,,5317,5595,656,5973,3982,656,0,67,1,221,46,,,67,,,,840,1178,718,450,424,343,3953,0,52,,,58,,,,302,316,224,188,188,201,1419,0,223,61,,400,400,401,18,0,335,12,7,1,77,0,,0,,77,4406,,427,,,,2060,,408,,226,,205,,131,18,,,,,,,,,,1,3200,579,579,1,223,26,,579,415,3513,,,92,3513,,,0,,,,,,,,,,,
"Egypt","EG",2021,3328,0,3143,195,0,95,146,,6471,6761,436,6907,3328,341,0,584,1,221,79,,,143,,,,720,1096,851,556,495,325,4043,0,35,,,188,,,,593,512,385,309,297,177,2273,0,445,60,6037,,,104,2,0,76,1,2,1,33,1,33,0,,76,2962,306,75,25,,,2962,306,44,20,75,25,23,8,100,2,0,0,0,0,0,0,0,0,2,0,3654,12,12,,,,,12,,,,,,,,,0,,,,,,,,,,,
"El Salvador","SV",2021,1188,223,323,200,0,2,18,,1734,1936,220,1954,1188,218,0,3,1,221,18,,,42,,,,182,489,245,117,127,133,1293,0,19,,,36,,,,77,77,85,93,85,111,528,0,115,60,728,,,42,1,2,42,0,1,1,14,1,29,1,13,43,316,42,17,23,,,1,0,1,0,0,0,0,0,2,1,,,,,,,,,,1,1898,126,126,0,,,,126,,,,,530,884,,,0,,,,,,,,,,,
"Equatorial Guinea","GQ",2021,905,611,161,101,88,12,58,,1677,1878,259,1936,905,138,0,22,1,220,15,16,31,,,61,98,,295,238,154,96,49,991,0,9,18,21,,,98,114,,264,160,68,40,33,777,0,110,60,70,,,35,0,0,35,1,0,1,2,0,,1,2,34,492,77,23,12,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,1760,723,500,,,,,,,,,,,,,,0,,,,,,,,,,,
"Eritrea","ER",2021,622,326,543,76,21,15,23,,1491,1603,135,1626,622,76,0,0,1,221,73,,,80,,,,128,139,105,103,101,125,701,0,54,,,78,,,,119,129,116,92,93,68,617,0,285,60,1149,,,26,0,0,26,0,0,1,26,1,26,0,,26,622,76,23,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1576,41,41,,,,,41,6,276,177,8775,52,276,,,0,,,,,,,,,,,
"Estonia","EE",2021,77,11,4,10,5,0,4,0,92,107,19,111,77,14,0,19,1,220,0,0,0,,,2,2,,4,17,15,13,13,66,0,0,0,0,,,0,4,,5,3,4,8,17,41,0,0,60,87,,,16,9,0,12,0,7,1,,1,,1,,,74,13,16,9,,,68,13,19,9,14,9,14,9,23,9,2,0,0,0,2,4,0,0,1,1,99,12,10,,,,,,,,,,,,,,0,,,,,,,,,18343,256,13
"Eswatini","SZ",2021,958,463,377,61,49,26,115,,1798,1934,251,2049,953,72,5,0,1,220,33,10,7,,,31,66,,247,328,183,145,85,1085,0,24,11,6,,,31,94,,243,181,108,51,50,758,0,91,60,1763,,,64,2,20,64,5,2,1,69,1,2,1,69,71,953,72,40,26,,,69,53,33,31,40,26,8,7,2,2,,1,,1,,,,,,0,1896,1201,1149,1,89,19,18,,305,7286,22518,199947,3879,7286,,,0,,,,,,,,,,,
"Ethiopia","ET",2021,43661,25676,32210,3059,,,248,,101547,104606,3307,104854,43661,3059,,,1,221,1612,,,3560,,,,13854,14740,9958,6827,4577,3202,53158,,1130,,,3923,,,,11645,12663,8031,4838,2624,1422,41223,,10225,0,,,,514,4,0,514,26,4,1,376,1,279,1,126,324,21240,2698,480,34,,,30,63,12,25,13,28,11,24,438,4,,,2,,,2,,,0,1,86168,4467,4404,0,,,,4404,1430,30505,187009,,19612,30505,,,0,,,,,,,,,,,
"Faroe Islands","FO",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
