"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","rdxsurvey_newinc","rdxsurvey_newinc_rdx","conf_rr_nfqr","conf_rr_fqr","unconf_rr_nfqr_tx","conf_rr_nfqr_tx","rrmdr_014_tx","conf_rr_fqr_tx","mdrxdr_bdq_used","mdrxdr_bdq_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"New Zealand","NZ",2021,142,6,152,1,0,1,7,,300,302,9,309,142,1,0,269,1,220,1,3,1,,,6,13,,41,27,19,11,32,149,0,1,0,1,,,8,12,,50,28,18,15,15,146,0,7,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,259,3,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Nicaragua","NI",2021,1342,268,144,69,12,1,61,,1754,1836,143,1897,1342,130,0,0,1,221,17,,,13,,,,182,281,206,166,127,125,1087,0,25,,,28,,,,142,158,103,101,86,76,666,0,83,60,1112,,,40,0,0,28,0,3,0,,1,,1,,3,627,78,30,10,,,,78,,3,,10,,3,0,0,,,,,,,,,,1,1816,97,97,1,53,1,1,97,63,745,,,616,745,,,0,,,,,,,,,,,
"Niger","NE",2021,10060,917,1456,353,,,222,,12433,12786,575,13008,10060,575,,,1,221,115,,,176,,,,1352,2459,1991,1311,1055,892,9060,,97,,,158,,,,514,724,609,491,441,400,3179,,546,60,1445,,,92,6,,81,2,6,1,38,0,,1,51,87,1127,525,28,69,,,28,59,26,54,28,59,26,54,87,8,,,,,,,,,8,0,10202,328,223,,,,,227,227,2798,,,,,,,0,,,,,,,,,,,
"Nigeria","NG",2021,154698,42207,3539,3302,930,49,3060,,200444,204725,7341,207785,154629,5116,69,0,1,221,2015,,,4592,,,,14402,27189,28613,21312,13021,10805,115342,,1864,,,4432,,,,13095,19257,17331,12341,7914,6423,76361,0,12903,60,128165,,,2938,37,0,2164,40,33,1,2197,1,135,1,1882,2197,117519,4818,2895,,2895,,117519,,375,,2895,,332,,2563,39,,,,,,,,,,1,198051,11715,10782,0,,,,10782,,,,,233927,361263,,,0,,,,,,,,,,,
"Niue","NU",2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,221,0,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"North Macedonia","MK",2021,100,14,15,8,3,3,3,3,129,143,17,146,100,11,,3,1,221,1,,,0,,,,10,17,14,24,23,15,103,,0,,,2,,,,4,6,10,5,3,12,40,,3,60,112,,,2,0,0,2,0,0,0,,1,1,0,,2,100,11,1,1,,,100,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,11
"Northern Mariana Islands","MP",2021,11,21,1,1,1,0,0,,33,35,2,35,11,1,0,28,1,220,1,0,0,,,0,1,,2,2,5,9,4,23,0,0,0,0,,,0,0,,0,3,4,2,2,11,0,1,60,35,,,0,0,0,0,0,0,0,,0,,0,,0,11,1,0,0,,,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,
"Norway","NO",2021,70,5,65,,,,17,1,140,140,17,157,70,10,0,130,1,220,0,1,0,,,2,3,,25,6,7,7,8,58,0,1,0,3,,,3,9,,21,20,9,6,9,77,0,5,60,117,,,10,2,0,8,0,2,,,,,,,,69,9,6,2,,,68,9,9,2,6,2,6,2,8,2,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"occupied Palestinian territory, including east Jerusalem","PS",2021,15,1,9,0,0,0,0,,25,25,0,25,15,0,0,0,1,220,2,1,3,,,0,0,,3,3,3,2,0,11,0,1,0,0,,,1,1,,0,2,2,0,1,7,0,7,0,,,,0,0,3,0,0,0,0,,1,3,0,,3,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Oman","OM",2021,171,6,55,0,0,1,0,,232,233,1,233,171,0,0,144,1,221,1,,,2,,,,11,36,35,29,17,22,150,0,1,,,0,,,,7,20,16,12,10,14,79,0,4,60,205,,,2,0,0,2,0,0,0,,1,2,0,,2,144,0,0,0,,,144,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,4,4,,,,,4,4,173,,,3,173,,,0,,,,,,,,,,,
"Pakistan","PK",2021,137049,132120,59707,7291,2455,634,3768,,328876,339256,14148,343024,136871,9785,178,0,1,221,11123,,,11586,,,,28867,26597,27159,27920,25200,22830,158573,,8635,,,13527,,,,33229,26334,22758,21008,17665,14818,135812,,44871,60,185554,,,2300,838,21,2019,113,838,1,2733,1,1202,1,653,2878,125823,8265,1878,422,5859,267,125823,8043,52,80,1878,422,26,40,2140,802,2,2,0,34,435,0,0,1,328,1,175872,1013,637,,,,,,176,3075,,,,,,,0,,,,,,,,,,,
"Palau","PW",2021,6,1,1,0,0,0,0,,8,8,0,8,6,0,0,3,,221,0,,,0,,,,0,2,0,1,3,0,6,0,0,,,0,,,,1,1,0,0,0,0,2,0,0,60,8,,,,0,0,0,0,0,0,,0,,0,,0,6,0,0,0,,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Panama","PA",2021,829,312,229,46,22,14,60,,1370,1452,142,1512,829,82,,56,1,221,26,,,29,,,,158,237,184,139,113,92,923,,21,,,21,,,,99,105,68,57,58,45,432,,97,60,702,,,44,25,0,44,0,1,1,24,1,25,1,7,44,497,56,17,6,,,497,43,8,2,17,6,3,0,22,2,0,0,0,0,0,0,0,0,2,1,1420,318,298,1,95,8,8,298,91,2261,,,718,2261,,,0,,,,,,,,,,,
"Papua New Guinea","PG",2021,5252,9271,13241,288,445,376,1307,,27764,28873,2416,30180,5202,552,50,,1,221,1593,,,2029,,,,3228,3045,2101,1721,1200,432,11727,,1176,,,1851,,,,3081,2895,1882,1392,856,242,10348,,6649,0,,,,478,3,,412,32,3,1,288,1,316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17932,1068,898,,,,,,440,3743,,,681,3743,,,0,,,,,,,,,,,
"Paraguay","PY",2021,1768,503,245,179,33,6,262,,2516,2734,480,2996,1768,373,0,50,1,220,26,13,11,,,81,286,,556,386,234,209,196,1948,0,20,6,21,,,61,99,,134,116,100,79,100,689,0,97,60,2064,,,22,0,1,22,1,0,1,22,1,11,1,11,22,1639,373,9,10,,,1639,373,4,3,9,10,1,1,8,0,0,0,0,0,0,0,0,0,0,1,2252,230,199,1,45,4,0,199,72,1389,120,10811,45,1389,13,73,0,,,,,,,,,,,
"Peru","PE",2021,14309,4382,4448,1833,477,208,780,,23139,25657,3298,26437,14309,2384,0,290,1,220,111,101,262,,,1252,2139,,3892,2400,1952,1804,2056,15495,,93,86,265,,,824,1133,,2204,1564,1199,991,1329,9244,,918,60,5642,,,1557,82,196,1557,50,61,1,140,1,1246,0,,,13453,2217,548,189,1709,117,12374,2054,740,175,415,151,337,123,374,82,0,1,0,3,41,2,0,0,35,1,24475,1453,732,1,17,11,3,,,,,,,,,,0,,,,,,,,,,,
"Philippines","PH",2021,126311,154410,6383,12168,21904,388,6933,,287104,321564,41393,328497,126311,15836,,46,1,220,5399,3776,2924,,,9188,16593,,34029,35965,40254,36215,28083,200327,82,4053,2889,2087,,,5344,9176,,17952,16644,17296,17166,16395,99973,54,21128,60,209887,,,7527,62,14,5870,70,62,1,5553,1,820,1,4271,,111868,14738,3795,3781,11328,2462,415,821,297,644,409,811,294,638,1302,62,,,,,,,,,,1,109952,1350,1349,0,,,,2132,1984,10825,10027,56385,4847,10825,,,0,,,,,,,,,,,
"Poland","PL",2021,2638,446,145,188,27,2,258,39,3229,3446,475,3704,2638,403,0,132,1,220,9,5,6,,,26,70,,253,466,553,605,480,2453,0,5,3,9,,,24,45,,125,164,145,152,301,956,0,37,60,1164,,,49,9,0,0,0,0,,,,,,,,2415,333,39,19,,,2415,333,104,33,39,19,36,18,30,9,0,0,0,0,0,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,519517,,
"Portugal","PT",2021,884,133,395,38,4,9,41,4,1412,1463,92,1504,884,66,0,385,1,220,15,2,3,,,27,52,,101,132,185,182,262,941,4,7,5,9,,,13,28,,59,86,80,66,143,475,2,41,60,522,,,8,2,0,6,0,2,1,12,1,12,0,,12,482,34,5,3,,,482,34,33,5,5,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,973,86,,,,,,,,,,,,,,,0,,,,,,,,,,,75
"Puerto Rico","PR",2021,15,2,0,0,0,0,1,,17,17,1,18,15,1,0,4,1,220,0,0,0,,,0,0,,0,1,1,1,5,8,0,0,0,0,,,0,1,,0,0,1,2,5,9,0,0,60,9,,,1,0,0,0,0,0,0,,0,,0,,0,14,1,0,1,,,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
"Qatar","QA",2021,411,30,542,0,0,0,0,,983,983,0,983,411,0,0,956,1,221,6,,,2,,,,69,281,225,121,42,14,752,0,5,,,2,,,,16,94,68,23,6,9,216,0,15,60,983,,,3,2,0,3,0,2,1,3,3,,0,,5,411,0,5,0,,,411,,5,,5,,5,,5,2,,,,,,,,,,1,983,3,3,,,,,3,3,70,,,,,,,0,,,,,,,,,,,
"Republic of Korea","KR",2021,11530,2865,4293,1733,542,470,1471,,18688,21433,4216,22904,11314,2320,216,1242,1,220,3,3,14,,,90,240,,782,950,1888,2860,6065,12875,0,2,3,12,,,72,219,,684,702,901,1055,4888,8521,0,37,60,11035,,,603,51,0,603,0,51,1,468,1,603,3,,,9284,1661,279,211,,,9284,1661,318,188,279,211,183,162,490,42,0,0,0,1,41,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Republic of Moldova","MD",2021,1028,408,180,348,88,15,181,59,1616,2067,632,2248,1028,529,0,20,1,220,10,16,10,,,17,33,,212,439,407,294,130,1532,0,15,21,17,,,17,19,,102,117,83,51,57,446,0,89,60,1912,,,469,124,80,500,19,124,1,520,1,457,1,123,197,991,512,256,203,272,203,916,382,328,223,256,202,254,200,459,124,11,1,0,12,100,0,0,0,0,1,2008,214,169,,,,,169,85,804,263,7267,263,804,,,0,,,,,,,,,45437,45437,199
"Romania","RO",2021,4893,564,945,1044,89,56,388,20,6402,7591,1577,7979,4893,1405,0,46,1,220,51,41,45,,,121,236,,628,1010,1564,944,761,5264,0,42,39,63,,,159,169,,403,354,308,232,421,2046,0,281,60,2456,,,237,27,0,66,2,26,1,42,1,42,0,,,4366,1245,115,142,,,4162,1158,188,150,112,135,82,108,91,26,0,0,0,0,0,0,0,0,26,1,6181,132,102,,,,,,,,,,,,,,0,,,,,,,,,334910,,825
"Russian Federation","RU",2021,22873,18574,3973,6350,4534,618,22764,8921,45420,56922,34266,79686,22873,19896,0,1915,1,221,289,,,546,,,,1695,6944,13619,8790,5476,2444,38968,318,278,,,633,,,,1195,3381,4871,2624,1714,2043,15828,62,1746,60,48208,,,13106,7346,4885,18909,469,6146,1,13958,3,,3,,,21391,18831,7707,12745,5772,3556,21391,18831,9574,13409,7707,12745,7162,12084,18843,7346,4,34,78,21,608,1488,66,12,5035,1,54821,14132,10764,1,1535,34,32,,,,,,,,,,0,,,,,,,,,2441594,137231,6313
"Rwanda","RW",2021,3382,543,916,295,60,22,54,,4841,5218,431,5272,3379,338,3,0,1,220,100,20,28,,,32,423,,1100,962,522,392,233,3664,1,113,10,30,,,71,158,,350,280,168,124,101,1252,0,301,60,3310,,,34,1,0,33,0,1,1,21,1,1,1,20,33,3090,299,24,10,,,,,,,,,,,23,1,,,,,,,,,,1,5196,819,697,,,,,,,,,,,,,,0,,,,,,,,,,,
"Saint Kitts and Nevis","KN",2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
"Saint Lucia","LC",2021,2,2,0,0,0,0,0,,4,4,0,4,2,0,0,0,1,220,0,0,0,,,0,0,,0,0,0,2,1,3,0,0,0,0,,,0,0,,0,0,1,0,0,1,0,0,60,2,,,0,0,0,0,0,0,0,,0,,0,,0,2,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,4,0,0,1,0,0,0,0,0,81,,,,,,,0,,,,,,,,,,,
"Saint Vincent and the Grenadines","VC",2021,4,0,0,1,,,0,,4,5,1,5,4,1,0,0,1,221,0,,,0,,,,0,0,0,2,1,0,3,0,0,,,0,,,,0,1,0,1,0,0,2,0,0,60,5,,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,
"Samoa","WS",2021,13,0,0,0,0,0,0,,13,13,0,13,13,0,0,0,1,220,,,1,,,,,,,,2,,1,3,,,,,,,,,,1,2,2,2,2,9,,1,60,13,,,0,0,0,0,0,0,0,,0,,0,,0,13,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"San Marino","SM",2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sao Tome and Principe","ST",2021,42,12,25,3,0,0,0,,79,82,3,82,42,3,0,2,1,221,0,,,1,,,,5,9,11,12,9,0,46,0,0,,,0,,,,5,7,6,7,4,6,35,0,1,60,49,,,7,0,0,6,0,0,0,,1,4,1,2,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,12,12,,,,,,,,,,,,,,0,,,,,,,,,,,
"Saudi Arabia","SA",2021,1801,78,639,29,17,13,56,,2518,2577,115,2633,1746,79,55,1346,1,221,6,,,21,,,,255,496,373,286,160,172,1742,0,9,,,43,,,,144,249,163,80,58,62,756,0,79,60,1277,,,14,0,14,7,0,0,1,6,1,1,0,,7,591,30,7,7,,,520,28,20,3,7,7,5,2,0,0,0,0,0,0,0,0,0,0,0,1,2320,37,37,,,,,,,,,,,,,,0,,,,,,,,,,,
"Senegal","SN",2021,10363,762,1571,674,0,0,532,,12696,13370,1206,13902,10363,674,0,0,1,221,42,,,178,,,,2068,2545,1750,1142,774,484,8763,0,53,,,182,,,,1333,988,693,508,376,254,4152,0,455,60,5211,,,79,2,0,72,2,,1,33,1,11,1,22,72,3191,674,25,54,,,19,45,13,32,18,44,13,32,69,2,2,0,0,0,0,0,0,0,0,0,13354,531,494,,,,,494,266,5297,2410,31629,731,5297,,,0,,,,,,,,,,,
"Serbia","RS",2021,177,125,122,10,7,4,2,1,424,445,23,447,177,11,0,0,1,221,0,,,2,,,,40,47,35,37,41,52,252,,5,,,3,,,,45,29,23,13,29,44,183,,10,60,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,152,,,,,,,,,,,,,,,,,,
"Seychelles","SC",2021,10,0,1,0,0,0,0,,11,11,0,11,9,0,1,5,,220,0,0,0,,,0,1,,2,4,0,1,1,9,0,0,0,0,,,0,0,,1,0,0,1,0,2,0,0,60,10,,,0,0,0,0,0,0,0,,0,,0,,0,9,0,0,0,,,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1,,,,,1,1,59,1,89,1,59,2,2,0,,,,,,,,,,,
"Sierra Leone","SL",2021,11226,4692,1208,297,109,19,118,,17126,17551,543,17669,11193,380,33,0,1,221,463,,,323,,,,1390,2559,2327,1773,1026,694,9769,21,452,,,320,,,,1226,1787,1349,907,534,387,6190,13,1558,60,4227,,,223,0,0,183,0,0,1,141,1,105,1,34,183,4227,,60,123,,,,,,,,,,,,,,,,,,,,,,1,17243,2543,2537,,,,,2537,927,13375,6124,46445,,,,,0,,,,,,,,,,,
"Singapore","SG",2021,1065,842,407,73,49,25,2,,2314,2461,149,2463,1065,73,0,1348,1,220,3,3,2,,,14,57,,206,224,213,265,451,1430,0,2,0,3,,,11,35,,348,238,98,113,175,1018,0,13,60,2330,,,20,2,0,17,0,2,1,4,0,,1,1,19,1051,67,17,2,,,1051,67,75,6,17,2,16,2,18,2,,,,,,,,,,1,2254,19,,,,,,3,3,117,,,0,117,5,5,0,,,,,,,,,,,
"Sint Maarten (Dutch part)","SX",2021,1,,,,,,0,,1,1,0,1,1,,,0,1,220,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,,3,,3,,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
"Slovakia","SK",2021,81,32,17,4,0,0,3,1,130,134,7,137,77,6,4,7,1,220,6,9,8,,,6,2,,9,11,9,12,10,59,0,9,5,3,,,8,3,,5,0,5,6,8,35,0,40,60,48,,,3,2,0,2,0,2,1,1,0,,1,1,1,65,5,3,2,,,65,5,5,2,3,2,2,2,4,2,0,0,0,0,0,0,0,0,2,1,96,3,3,,,,,,,,,,,,,,0,,,,,,,,,8,4,4
"Slovenia","SI",2021,59,3,12,5,0,0,1,0,74,79,6,80,59,6,0,38,1,220,1,0,0,,,1,0,,3,4,8,9,20,45,0,0,0,1,,,1,0,,3,6,3,6,13,32,0,2,60,68,,,1,0,0,1,0,0,1,1,0,,0,,0,58,6,1,0,,,58,6,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,67,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,8
"Solomon Islands","SB",2021,145,98,119,3,5,0,0,,362,370,8,370,145,3,0,2,1,221,4,,,9,,,,30,39,27,28,16,16,156,0,10,,,15,,,,50,35,33,28,14,16,176,0,38,60,69,,,1,0,0,0,0,0,0,,0,,0,,0,66,3,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,
"Somalia","SO",2021,8363,4217,4782,48,8,4,82,,17362,17422,142,17504,8363,130,0,0,,221,844,,,964,,,,1990,1809,1352,1127,905,831,8014,0,779,,,953,,,,1342,1318,1107,901,634,566,5868,0,3540,60,5273,,,319,7,0,319,20,7,1,299,1,156,1,136,299,5222,51,305,21,21,21,305,21,305,21,304,21,304,21,326,7,0,0,0,0,0,0,0,7,0,0,15221,139,84,,,,,,,,,,,,,,0,,,,,,,,,,,
"South Africa","ZA",2021,92888,45429,18382,10204,4134,1157,9670,,156699,172194,25165,181864,92888,10204,0,,1,220,4535,972,1044,,,3308,6782,,24391,28053,17746,10098,5263,95641,0,4058,972,1352,,,3928,6579,,18620,15426,9153,5591,4323,63620,0,12933,60,107583,,,6381,725,133,6381,232,725,1,6331,1,1456,1,4616,6725,92888,10204,3665,2716,10204,1561,92888,10204,1569,1279,3665,2716,1548,1269,6381,725,1,7,0,100,432,13,7,32,133,1,152857,81770,73117,1,228,42,37,,27287,488052,,,306598,488052,206837,480733,0,,,,,,,,,,,
"South Sudan","SS",2021,8191,5443,3173,394,126,141,1049,,16807,17468,1710,18517,8147,799,44,0,1,221,695,,,895,,,,1834,2992,2114,1300,708,608,9556,,558,,,981,,,,929,1177,1050,740,486,357,4739,,3129,0,,,,0,138,0,127,1,0,1,127,1,5,1,122,127,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16041,2090,2005,,,,,,1456,14873,3863,47440,,,,,0,,,,,,,,,,,
"Spain","ES",2021,2122,283,965,0,0,0,138,5,3370,3370,138,3508,1384,97,738,1303,1,220,37,11,30,,,58,132,,323,335,383,328,461,2020,4,32,13,18,,,32,68,,243,222,192,137,303,1197,7,141,60,1324,,,33,1,0,0,0,0,,,,,,,,1046,60,25,1,,,1029,60,67,6,22,1,17,1,5,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sri Lanka","LK",2021,3491,936,1836,223,31,34,220,,6263,6551,508,6771,3483,391,8,14,1,221,18,,,68,,,,281,409,682,886,944,837,4039,,23,,,56,,,,331,308,353,425,481,449,2347,,165,60,1563,,,10,0,0,9,0,0,1,9,0,,0,,9,1214,377,13,6,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,6579,48,23,,,,,,29,330,,,128,330,,,0,,,,,,,,,,,
"Sudan","SD",2021,7784,4681,5137,441,175,43,335,,17602,18261,994,18596,7750,659,34,0,1,221,320,,,523,,,,1836,2525,1729,1319,934,1066,9409,1636,259,,,363,,,,1055,1166,877,696,509,567,4870,881,1465,0,,,,210,0,0,209,0,0,1,23,0,,1,23,209,6193,655,117,93,,,,,,,,,,,130,0,,,,,,,,,,0,3836,136,127,,,,,121,,,,,659,1749,,,0,,,,,,,,,,,
"Suriname","SR",2021,69,8,7,3,1,0,5,,84,88,9,93,69,8,0,4,1,220,3,0,0,,,3,5,,8,13,14,16,5,64,0,3,0,0,,,1,3,,4,1,3,4,2,18,0,6,60,83,,,10,0,0,1,0,0,1,1,1,1,0,,1,67,7,9,1,,,59,6,59,6,9,1,9,1,9,0,,,,,,,,,,1,83,16,12,1,4,0,0,,,,,,,,,,0,,,,,,,,,,,
"Sweden","SE",2021,191,21,128,1,0,3,13,1,340,344,17,357,179,8,12,318,1,220,2,2,1,,,15,24,,41,31,23,18,37,189,0,2,3,4,,,8,14,,31,16,23,20,29,141,0,14,60,290,,,6,1,0,6,0,0,1,6,0,,1,5,5,173,8,4,0,,,173,8,15,0,4,0,3,0,4,1,0,0,0,0,1,0,0,0,0,1,247,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Switzerland","CH",2021,319,25,11,0,0,0,9,8,355,355,9,364,252,8,67,257,1,220,2,0,2,,,16,20,,36,43,29,20,31,195,0,2,1,0,,,6,10,,45,29,10,26,27,153,0,7,60,243,,,4,1,0,4,0,1,1,1,3,,3,,0,220,7,5,0,,,219,6,16,0,5,0,5,0,4,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"Syrian Arab Republic","SY",2021,1471,374,1359,42,7,37,53,,3204,3290,139,3343,1471,63,0,14,1,220,19,37,38,,,123,317,,623,490,276,178,108,2115,,27,21,55,,,145,148,,231,172,134,95,83,1008,,197,60,2909,,,16,1,1,16,0,1,1,16,1,17,0,,17,705,63,17,6,,,66,,54,,13,,10,,0,0,0,0,0,0,0,0,0,0,0,1,871,3,3,,,,,,,,,,,,,,0,,,,,,,,,,,
"Tajikistan","TJ",2021,1862,640,1285,227,63,81,141,14,3787,4158,512,4299,1862,328,0,11,,221,30,,,95,,,,508,537,295,276,243,187,2046,0,23,,,83,,,,396,463,266,230,283,243,1881,0,231,60,3544,,,477,129,68,354,23,111,1,401,1,317,1,102,88,1862,305,501,105,227,74,1584,265,435,98,280,71,267,68,551,129,4,6,0,9,82,0,0,2,26,1,4103,118,118,,,,,125,78,935,1032,8740,857,935,1461,1502,0,,,,,,,,,,,146
"Thailand","TH",2021,38789,17399,10263,3279,1286,472,1363,,66451,71488,6400,72851,38240,4120,549,3244,1,220,152,66,111,,,697,1914,,5946,8140,10110,9570,11904,48281,0,105,58,173,,,650,1410,,3210,3306,3690,3851,6425,22542,0,665,60,37097,,,795,49,0,794,4,44,1,620,1,65,1,555,496,29104,3696,510,284,,,16763,1919,1372,255,309,183,227,131,305,17,0,0,0,0,17,0,0,0,0,1,60134,5313,4795,1,379,21,20,4625,,,,,,,,,0,,,,,,,,,,,
"Timor-Leste","TL",2021,1518,1054,506,45,67,3,75,,3078,3193,190,3268,1518,50,0,0,1,221,31,,,59,,,,318,299,209,247,263,360,1696,0,24,,,67,,,,303,281,157,166,188,221,1316,0,181,60,1026,,,20,0,19,0,0,0,1,19,1,0,1,19,19,20,0,20,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2972,31,31,,,,,,,,,,,,,,0,,,,,,,,,,,
"Togo","TG",2021,1953,89,271,122,1,1,72,,2313,2437,196,2509,1953,194,0,0,,221,4,,,36,,,,192,320,413,335,195,115,1570,0,3,,,41,,,,184,203,147,107,67,75,783,0,84,60,1934,,,19,3,0,12,1,3,1,4,0,,1,4,12,1805,194,12,7,,,63,70,5,6,12,7,5,4,19,3,,,,,,,,,,0,2488,332,328,,,,,,,,,,,,,,0,,,,,,,,,,,
"Tokelau","TK",2021,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,1,222,,,,,0,,,0,0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0,5,,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
